Source Word,Kana,Word Translation,Word Description,Conversation Japanese,Conversation Romaji,Conversation Translation
計画,けいかく,Plan,"Noun or verb meaning plan or project.","A: プロジェクトの計画、どうなりましたか？ B: 今週中にまとめます。","A: Purojekuto no keikaku, dō narimashita ka? B: Konshū-chū ni matomemasu.","A: How is the project plan coming along? B: I'll finalize it by the end of this week."
計画,けいかく,Plan,"Noun or verb meaning plan or project.","A: 今日の開発の計画は？ B: まず新しい機能を実装します。","A: Kyō no kaihatsu no keikaku wa? B: Mazu atarashii kinō o jissō shimasu.","A: What's the development plan for today? B: First, we'll implement the new feature."
計画,けいかく,Plan,"Noun or verb meaning plan or project.","A: 会議の計画を変更してもいいですか？ B: ええ、大丈夫ですよ。","A: Kaigi no keikaku o henkō shite mo ii desu ka? B: Ee, daijōbu desu yo.","A: Is it okay to change the plan for the meeting? B: Yes, that's fine."
計画,けいかく,Plan,"Noun or verb meaning plan or project.","A: このリリースの計画で進めましょう。 B: はい、異議ありません。","A: Kono rirīsu no keikaku de susumemashō. B: Hai, igi arimasen.","A: Let's proceed with this release plan. B: Yes, I have no objection."
計画,けいかく,Plan,"Noun or verb meaning plan or project.","A: 次の四半期の計画を話し合いましょう。 B: いつ頃がご都合よろしいですか？","A: Tsugi no shihanki no keikaku o hanashiaimashō. B: Itsu goro ga go-tsugō yoroshii desu ka?","A: Let's discuss the plan for the next quarter. B: Around when is convenient for you?"
予定,よてい,plan, schedule,"Common noun or suru-verb indicating a plan or schedule.","A: 明日の会議の予定は？ B: 10時からです。","A: Ashita no kaigi no yotei wa? B: Juu-ji kara desu.","A: What's the schedule for tomorrow's meeting? B: It's from 10 o'clock."
予定,よてい,plan, schedule,"Common noun or suru-verb indicating a plan or schedule.","A: このプロジェクトの完了予定はいつですか？ B: 来月末の予定です。","A: Kono purojekuto no kanryou yotei wa itsu desu ka? B: Raigetsu matsu no yotei desu.","A: When is the planned completion date for this project? B: It's scheduled for the end of next month."
予定,よてい,plan, schedule,"Common noun or suru-verb indicating a plan or schedule.","A: 今日の午後の予定は空いていますか？ B: はい、特に予定はありません。","A: Kyou no gogo no yotei wa aite imasu ka? B: Hai, tokuni yotei wa arimasen.","A: Is your afternoon schedule free today? B: Yes, I don't have any particular plans."
予定,よてい,plan, schedule,"Common noun or suru-verb indicating a plan or schedule.","A: サーバーメンテナンスの予定は変更になりましたか？ B: いいえ、今のところ変更の予定はありません。","A: Saabaa menatenansu no yotei wa henkou ni narimashita ka? B: Iie, ima no tokoro henkou no yotei wa arimasen.","A: Has the server maintenance schedule changed? B: No, there are no plans for changes at the moment."
予定,よてい,plan, schedule,"Common noun or suru-verb indicating a plan or schedule.","A: 新機能のリリース予定は？ B: 来週の金曜日を予定しています。","A: Shinkinou no ririisu yotei wa? B: Raishuu no kinyoubi o yotei shite imasu.","A: What's the planned release date for the new feature? B: We're planning for next Friday."
